"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT04","WT06","WT08","WT11","WT13","WT14","WT16","WT17","WT18","WT19","WT22"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04-20","5.82"," 0010"," 0150","0.00","0.0","0",,"65","45","   50","   70","17.0","23.9","    1",,,,"    1",,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04-21","10.29"," 1734"," 1335","0.00","0.0","0",,"63","43","  290","  300","19.9","32.0",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04-22","7.16"," 1548"," 1447","0.00","0.0","0",,"51","40","  160","  100","13.0","21.9",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04-23","5.59"," 0730"," 0754","0.75","0.0","0",,"61","43","  140","  120","14.1","21.0","    1",,,,"    1",,"    1",,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04-24","3.36"," 1417"," 1417","0.50","0.0","0",,"80","54","  150","  150","13.0","16.1","    1",,,,,,"    1",,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04-25","5.37"," 1954"," 1932","0.00","0.0","0",,"75","56","   60","   70","12.1","16.1","    1",,,,"    1",,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04-26","6.26"," 1607"," 1310","0.00","0.0","0",,"83","54","  160","  200","16.1","25.9","    1",,,,"    1",,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04-27","6.93"," 1534"," 1506","0.00","0.0","0",,"75","61","  150","  150","15.0","21.0",,,,,,,,,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04-28","7.16"," 1121"," 1221","0.31","0.0","0",,"72","61","  140","  270","15.0","25.1","    1",,,,,,"    1",,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04-29","6.49"," 1458"," 1717","0.00","0.0","0",,"69","54","  260","  250","16.1","23.0",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04-30","4.92"," 1316"," 1309","0.00","0.0","0",,"67","50","   50","   50","15.0","21.9",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-05-01","5.37"," 2054"," 2141","0.00","0.0","0",,"69","50","  150","  140","13.0","17.9",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-05-02","5.14"," 1331"," 0225","0.00","0.0","0",,"63","50","  130","  160","10.1","16.1",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-05-03","6.71"," 2250"," 2035","0.00","0.0","0",,"75","55","  270","  160","14.1","19.9",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-05-04","6.04"," 1904"," 0651","0.50","0.0","0",,"64","46","  300","  310","14.1","23.0","    1",,,,,,"    1",,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-05-05","8.50"," 1608"," 1540","0.00","0.0","0",,"65","46","  280","  320","17.9","28.0",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-05-06","5.82"," 1427"," 1842","0.00","0.0","0",,"72","50","  170","  160","14.1","21.0",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-05-07","5.82"," 1604"," 1601","0.00","0.0","0",,"72","55","  300","  300","17.0","29.1",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-05-08","4.92"," 1747"," 1744","0.00","0.0","0",,"74","52","   30","   30","13.0","17.0",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-05-09","7.16"," 1242"," 1550","0.00","0.0","0",,"71","54","   50","   70","17.9","25.1",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-05-10","5.59"," 1231"," 1223","0.00","0.0","0",,"75","53","   50","   30","17.0","23.0",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-05-11","5.82"," 0743"," 0701","0.00","0.0","0",,"71","52","   40","   50","16.1","21.9",,,,,,,,,,,,,
